Employee_ID,Role ,years_exp,Current_CTC,Previous_CTC,Company,company_TYPE,Skills,Location,Education_Tier,Joining_Year,Work_Mode
BLR0550,DA,4,29.7,21.4 LPA,Capgemini,MNC,"Deep Learning, Pandas, Excel, Node.js, ML, System Design, React",,2,2021,Remote
BLR0112,UI Designer,4,"2,940,000",18.4 LPA,Razorpay,Unicorn,"Node.js, System Design, Excel, SQL, PowerBI",Bellandur,Tier-2,2020,Hybrid
BLR0270,Backend Dev,1,17.8,10.7 LPA,Cred,UNICORN,"Node.js, Spring Boot, ML, Tableau, Agile, PyTorch",,T2,2024,Remote
BLR0173,Infra Engineer,7,₹41.0 LPA,33.2,Microsoft India,MNC,"GCP, Deep Learning, Agile, Kubernetes",Jayanagar,T2,2022,Hybrid (3 days)
BLR0963,SDE Full-Stack,2,₹17.4 LPA,12.5,Infosys,MNC,"Kafka, NumPy, PyTorch",Koramangala,2,2024,Onsite
BLR0480,Backend Dev,2,26.4,17.5 LPA,Zomato,Unicorn,"Excel, System Design, Kafka, Python, JIRA",Indiranagar,Tier-1,2023,WFH
BLR0293,ML Engineer,1,18.9,,Zomato,Unicorn,"Java, Python, PostgreSQL",Whitefield,T2,2024,Remote
BLR0505,ML Engineer,3,23.5,15.1 LPA,Wipro,MNC,"React, AWS, System Design, Sketch, Java",Sarjapur,T3,2022,Work from Office
BLR0951,PM,12,78.5 LPA,50.8,Infosys,MNC,"Kafka, JavaScript, SQL",Whitefield,1,2024,Onsite
BLR0085,Analytics Engineer,1,9.1,6.4 LPA,SaasGo,Early-stage,"Spring Boot, Pandas, Kubernetes, ML",Electronic City,3,2024,Hybrid (3 days)
BLR0351,Frontend Engineer,3,₹24.0 LPA,16.0,Google India,MNC,"Microservices, Agile, Excel, PowerBI, Node.js, Java, Figma",Sarjapur,1,2024,Work from Office
BLR0527,SRE,5,28.1,18.9 LPA,Walmart Labs,MNC,"SQL, Agile, Kafka, PowerBI",Electronic City,T2,2020,Remote
BLR0758,SDE-Frontend,3,"1,210,000",7.4 LPA,SaasGo,EARLY-STAGE,"Agile, JIRA, NumPy, Azure, React, Kafka, Python",Electronic City,Tier 3,2024,Work from Office
BLR0435,Frontend Engineer,2,13.8,8.6,Freshworks,Mid-size,"Python, PowerBI, Redis, Deep Learning",Sarjapur,Tier 3,2024,Hybrid
BLR0873,Business Systems Analyst,4,26.6,19.2 LPA,Zoho,Mid-size,"Node.js, GCP, System Design",Indiranagar,T1,2023,Remote
BLR0372,Frontend Engineer,0,₹13.4 LPA,,BYJU'S,Unicorn,"GCP, AWS, NumPy, SQL",Electronic City,Tier-1,2024,Remote
BLR0918,BE,2,18.0 LPA,14.7 LPA,HCL,mnc,"PyTorch, Microservices, Azure, Java, System Design",Sarjapur,Tier-2,2023,Work from Office
BLR0934,SDE Backend,3,23.3,,Amazon India,MNC,"MongoDB, Azure, PyTorch, Kafka, Microservices, Tableau, Java",HSR Layout,Tier 1,2022,Work from Office
BLR0973,Frontend Developer,1,11.0 LPA,7.6 LPA,Zoho,Mid-size,"Kafka, TensorFlow, SQL, React, Agile, JIRA, Spring Boot",Sarjapur,2,2023,Work from Office
BLR0786,Frontend Engineer,0,10.4,,Google India,MNC,"Redis, Azure, Kafka",Bellandur,Tier-1,2024,WFH
BLR0828,Analytics Engineer,8,24.0 LPA,16.9,FinNova,Early-stage,"Tableau, Redis, Agile, PyTorch, Kubernetes, PowerBI, Node.js",Indiranagar,Tier-2,2023,WFH
BLR0986,ML Engineer,0,11.8 LPA,,Postman,Mid-size,"Excel, Spring Boot, System Design",Whitefield,Tier-1,2024,Work from Office
BLR0576,Backend Developer,2,13.0,,FinNova,Early-stage,"Kubernetes, React, MongoDB, Docker, Python, Java",Marathahalli,2,2023,Hybrid
BLR0485,SDE Backend,0,9.1,,Walmart Labs,MNC,,Whitefield,T3,2024,WFH
BLR0190,Product Designer,1,14.2,10.0 LPA,BYJU'S,Unicorn,"Microservices, Azure, TensorFlow",Indiranagar,Tier-3,2024,Hybrid
BLR0225,Full Stack Engineer,2,19.0,14.3,Capgemini,mnc,"GCP, Java, Deep Learning, NumPy, TensorFlow, PostgreSQL",Electronic City,Tier-3,2024,WFH
BLR0407,ML Engineer,4,₹38.8 LPA,23.4,Cred,Unicorn,"Figma, Java, System Design, MongoDB, Azure",Indiranagar,Tier 1,2020,WFH
BLR0623,Data Analyst,3,16.9,11.3 LPA,Chargebee,Mid-size,"ML, Figma, PostgreSQL, SQL",Jayanagar,Tier 2,2022,Hybrid
BLR0687,BI Analyst,0,5.2 LPA,,SaasGo,Early-stage,"Figma, React, JIRA",Outer Ring Road,Tier 2,2024,Hybrid
BLR0566,Backend Developer,3,₹20.8 LPA,14.3,Meesho,Unicorn,"Java, Node.js, NumPy",Outer Ring Road,Tier 3,2021,Work from Office
BLR0392,SDE FS,4,₹25.7 LPA,16.9 LPA,Capgemini,MNC,"JIRA, PowerBI, PostgreSQL, Excel",Outer Ring Road,Tier-2,2022,Onsite
BLR0452,Backend Dev,0,₹11.6 LPA,,Wipro,MNC,"JavaScript, Sketch, AWS, Python, Kubernetes",Sarjapur,T1,2024,Onsite
BLR0844,PM,8,57.5,44.0 LPA,Walmart Labs,MNC,"PowerBI, AWS, Azure, Redis, Node.js, TensorFlow, JavaScript",Sarjapur,2,2024,Remote
BLR0097,Product Lead,0,"2,039,999",,Walmart Labs,MNC,"Kubernetes, Spring Boot, TensorFlow, Sketch, React, Docker, Deep Learning",Jayanagar,T2,2024,WFH
BLR0218,DevOps,0,11.5,,Freshworks,Mid-size,"Node.js, Figma, SQL, AWS",MG Road,Tier 1,2024,Work from Office
BLR0907,Data Scientist,2,₹19.8 LPA,14.0 LPA,Google India,mnc,"JavaScript, NumPy, AWS, TensorFlow",Indiranagar,T3,2023,Work from Office
BLR0499,FullStack,0,₹13.6 LPA,,Cred,Unicorn,,HSR Layout,Tier 1,2024,Hybrid (3 days)
BLR0333,SDE Full-Stack,6,"2,890,000",22.1 LPA,HCL,MNC,"Azure, Kafka, Redis",MG Road,T2,2020,Hybrid
BLR0064,BA,2,12.9,9.2,Postman,Mid-size,"Docker, PostgreSQL, MongoDB, Redis, PyTorch, Azure, Tableau",HSR Layout,Tier-3,2023,Hybrid
BLR0513,Data Science Engineer,2,18.5,13.5,BrowserStack,Mid-size,"Redis, System Design, Java, JavaScript",Marathahalli,Tier-2,2024,Onsite
BLR0321,Backend Engineer,10,55.1 LPA,36.4,MoEngage,Mid-size,"React, AWS, Figma, SQL, Redis, System Design, Docker",MG Road,Tier 1,2021,Hybrid
BLR0440,BA,5,"3,180,000",20.8 LPA,IBM,MNC,"React, Pandas, Agile, System Design, AWS, Kubernetes, PowerBI",Sarjapur,Tier-2,2024,WFH
BLR0727,PM,7,55.8 LPA,37.2,Google India,MNC,"JavaScript, Microservices, Kafka, JIRA, React, PostgreSQL",Electronic City,2,2023,Work from Office
BLR0227,DevOps Engineer,5,20.2 LPA,13.8,TechCrush Labs,Early-stage,"Agile, Excel, JIRA, React",Jayanagar,Tier 3,2023,Onsite
BLR0206,Infra Engineer,3,19.2,11.9 LPA,Freshworks,Mid-size,"PyTorch, System Design, Agile, React, Figma",Electronic City,3,2022,Hybrid (3 days)
BLR0636,Infra Engineer,3,27.7,19.1 LPA,Walmart Labs,MNC,"PowerBI, Deep Learning, ML, PyTorch",Koramangala,T3,2022,Onsite
BLR0988,PM,4,"3,950,000",,Infosys,MNC,"PyTorch, Pandas, Microservices, SQL",HSR Layout,Tier 2,2021,Onsite
BLR0350,BA,1,19.7 LPA,15.3,Cred,Unicorn,"AWS, Java, Kafka, Excel, System Design",Sarjapur,T3,2024,WFH
BLR0506,ML Engineer,3,21.7 LPA,17.9,Postman,Mid-size,"Sketch, Docker, Microservices, Pandas",Koramangala,2,2021,Hybrid
BLR0148,Data Analyst,4,19.8 LPA,14.6,Cognizant,MNC,"Node.js, PyTorch, SQL, GCP, Azure",Whitefield,T2,2020,WFH
BLR0063,DevOps,2,27.6,17.6 LPA,Razorpay,Unicorn,"AWS, Azure, React, Sketch, Java, Docker",Indiranagar,Tier 1,2022,Hybrid (3 days)
BLR0187,Product Manager,7,57.2 LPA,42.4,Chargebee,Mid-size,,Marathahalli,T2,2023,Onsite
BLR0493,Site Reliability Engineer,4,19.8 LPA,12.5,MoEngage,mid-size,"GCP, Sketch, Excel",Sarjapur,Tier-3,2023,Remote
BLR0458,Frontend Engineer,8,₹39.4 LPA,32.5,Razorpay,unicorn,"React, JavaScript, Kubernetes",Whitefield,T3,2024,Remote
BLR0624,Data Scientist,2,"2,710,000",,Razorpay,Unicorn,"Docker, Azure, Redis, Deep Learning, TensorFlow, Spring Boot, Python",Indiranagar,2,2023,WFH
BLR0211,ML Engineer,2,17.1 LPA,,Chargebee,Mid-size,"Figma, Java, Node.js, React",Whitefield,Tier-2,2024,Hybrid
BLR0405,BA,3,₹15.7 LPA,11.8,Chargebee,Mid-size,"Excel, JavaScript, Sketch, SQL, Node.js",Electronic City,T3,2021,Remote
BLR0341,Backend Engineer,7,"4,040,000",31.5,Capgemini,MNC,"Tableau, ML, Java",Marathahalli,2,2023,WFH
BLR0473,DA,4,21.5 LPA,13.5,Microsoft India,MNC,"Sketch, Docker, SQL, PostgreSQL, Deep Learning, React, Kafka",Koramangala,Tier-2,2022,Remote
BLR0936,SDE-Backend,0,10.6,,Ola,Unicorn,"Figma, Python, ML, Sketch",Electronic City,T3,2024,Hybrid (3 days)
BLR0267,ML Engineer,4,27.5,20.2,AgriTech Labs,Early-stage,"Java, Sketch, System Design, PyTorch, MongoDB, AWS",Whitefield,T1,2021,Remote
BLR0193,UI/UX,7,₹29.8 LPA,22.2 LPA,BrowserStack,Mid-size,"ML, Figma, SQL, Spring Boot, NumPy, TensorFlow",MG Road,Tier-3,2022,Remote
BLR0289,FullStack,7,37.0,26.9,Freshworks,MID-SIZE,"Pandas, Java, Excel, MongoDB, ML",Whitefield,2,2022,Hybrid
BLR0344,Backend Engineer,3,19.6,,Google India,MNC,"Java, JavaScript, Tableau, Node.js, Docker",Whitefield,Tier 2,2022,Onsite
BLR0830,SDE Full-Stack,2,17.4 LPA,10.8,QuickPay AI,EARLY-STAGE,"JIRA, Pandas, MongoDB, Python, Microservices, ML, PowerBI",Marathahalli,Tier 1,2023,Hybrid (3 days)
BLR0459,Backend Engineer,0,₹9.9 LPA,,Microsoft India,MNC,"GCP, Spring Boot, Node.js, React, PowerBI, PyTorch",Sarjapur,T2,2024,Remote
BLR0720,FullStack,0,8.9,,DataMint,early-stage,"PostgreSQL, AWS, GCP, Sketch",Marathahalli,Tier-1,2024,WFH
BLR0471,Data Scientist,3,"2,680,000",18.9 LPA,Walmart Labs,MNC,"Deep Learning, Sketch, JavaScript, GCP, Docker, Excel",Bellandur,2,2022,Hybrid (3 days)
BLR0036,Sr PM,2,45.9,38.9,Swiggy,Unicorn,"Docker, Microservices, Deep Learning, Kafka, PostgreSQL, Tableau",Whitefield,1,2022,Hybrid
BLR0198,Site Reliability Engineer,2,16.0 LPA,11.4 LPA,Infosys,MNC,"JIRA, Java, Tableau",HSR Layout,3,2024,Work from Office
BLR0481,Designer,0,₹11.5 LPA,,Zomato,Unicorn,"Sketch, Python, ML, PostgreSQL",MG Road,Tier 2,2024,Work from Office
BLR0749,Business Analyst,2,"2,410,000",15.5 LPA,Ola,Unicorn,"Kubernetes, MongoDB, Sketch, Microservices, GCP, Tableau, System Design",Outer Ring Road,2,2022,Hybrid (3 days)
BLR0837,Product Lead,8,"4,370,000",26.6,TechCrush Labs,Early-stage,"JIRA, React, Java, PowerBI, NumPy, Redis",Sarjapur,2,2021,Onsite
BLR0725,Backend Dev,3,20.6,14.2 LPA,TCS,MNC,"Sketch, Python, System Design, PyTorch, Node.js, MongoDB",Jayanagar,T2,2023,Remote
BLR0829,SRE,3,27.3 LPA,16.4 LPA,Ola,Unicorn,,Bellandur,Tier 2,2023,Hybrid (3 days)
BLR0015,Business Systems Analyst,5,₹25.9 LPA,15.8 LPA,Freshworks,mid-size,"Tableau, SQL, Kafka, ML",Koramangala,T1,2023,Work from Office
BLR0787,UX Designer,2,"1,390,000",8.5,Microsoft India,MNC,"Kubernetes, PowerBI, GCP",MG Road,Tier 3,2023,Hybrid (3 days)
BLR0797,Frontend Developer,2,20.8 LPA,16.6 LPA,PhonePe,unicorn,"Excel, Redis, Deep Learning",Indiranagar,3,2022,Onsite
BLR0668,Product Manager,2,21.5 LPA,13.5,DataMint,Early-stage,"GCP, JIRA, AWS, Python, Java, Node.js, SQL",Koramangala,Tier 2,2023,WFH
BLR0186,Frontend Engineer,6,"3,650,000",22.2 LPA,PhonePe,Unicorn,,Indiranagar,Tier 2,2020,Onsite
BLR0757,Data Scientist,3,20.7,14.1,IBM,MNC,"Excel, Spring Boot, MongoDB, JavaScript, Node.js, PyTorch",Marathahalli,Tier-3,2021,Hybrid (3 days)
BLR0733,BA,7,31.1 LPA,22.0 LPA,IBM,MNC,"MongoDB, Agile, Node.js",MG Road,T2,2024,Hybrid (3 days)
BLR0072,SDE Backend,4,19.5,16.3 LPA,Google India,MNC,"Agile, Python, React, Figma",Koramangala,Tier 3,2023,Onsite
BLR0890,Business Analyst,8,₹24.8 LPA,,DataMint,Early-stage,"Sketch, Figma, NumPy, Excel",Sarjapur,T2,2022,Work from Office
BLR0094,Product Lead,6,₹55.1 LPA,43.0 LPA,FinNova,early-stage,"React, System Design, Figma, ML, JavaScript, Node.js, Tableau",MG Road,T1,2021,WFH
BLR0070,UX Designer,12,₹47.4 LPA,39.0 LPA,IBM,mnc,"Docker, ML, Figma, PostgreSQL",Marathahalli,2,2023,Onsite
BLR0257,Product Designer,3,26.2,,Unacademy,unicorn,"System Design, MongoDB, Microservices, Sketch, Java, Figma",Marathahalli,3,2021,Work from Office
BLR0245,Product Manager,4,27.9,19.4 LPA,QuickPay AI,Early-stage,"Spring Boot, SQL, GCP, TensorFlow, Java",Marathahalli,Tier-2,2023,Work from Office
BLR0976,SRE,6,"4,840,000",38.5,Unacademy,Unicorn,"Kubernetes, Docker, Redis, Spring Boot",Indiranagar,Tier-1,2023,Onsite
BLR0004,Designer,4,₹18.9 LPA,12.0 LPA,QuickPay AI,early-stage,"Redis, Kubernetes, Deep Learning",Bellandur,2,2020,WFH
BLR0717,Data Science Engineer,2,15.1 LPA,10.4 LPA,Postman,Mid-size,"Docker, Excel, Java",HSR Layout,3,2024,Hybrid
BLR0442,ML Engineer,8,52.9 LPA,39.4 LPA,Google India,MNC,"Agile, Spring Boot, TensorFlow, ML",,Tier 2,2022,WFH
BLR0161,Designer,0,"1,230,000",,Razorpay,Unicorn,"Docker, React, JavaScript, Deep Learning, NumPy",Sarjapur,Tier 1,2024,Hybrid
BLR0359,Data Science Engineer,4,34.4 LPA,22.3,Capgemini,MNC,"Redis, MongoDB, Deep Learning, AWS, Node.js",Whitefield,Tier 1,2022,Hybrid
BLR0874,SDE FS,2,24.4 LPA,19.0,Unacademy,Unicorn,"Java, PyTorch, Spring Boot",Jayanagar,T1,2023,WFH
BLR0714,DevOps,2,16.7 LPA,12.7 LPA,Wipro,MNC,"JavaScript, Spring Boot, Excel",Sarjapur,Tier 2,2024,Onsite
BLR0588,Infra Engineer,6,31.1,22.4,IBM,MNC,"PyTorch, Excel, Pandas",Outer Ring Road,T1,2024,Hybrid (3 days)
BLR0152,Business Analyst,7,37.0,24.2,Cred,Unicorn,"Figma, Spring Boot, Microservices, JavaScript, Azure, React",Koramangala,3,2021,Remote
BLR0708,Product Designer,3,22.6 LPA,,Microsoft India,MNC,"React, Redis, GCP, NumPy, Azure, Kubernetes",Whitefield,1,2024,WFH
BLR0207,BI Analyst,2,12.3 LPA,8.8 LPA,Cognizant,MNC,"Agile, PyTorch, TensorFlow, Node.js, Figma, Python, React",Outer Ring Road,Tier 2,2023,Remote
BLR0058,Product Lead,3,"3,670,000",29.5 LPA,IBM,MNC,"Kubernetes, PostgreSQL, Node.js, Java",Indiranagar,T1,2023,Work from Office
BLR0062,Fullstack Dev,0,"900,000",,Zoho,Mid-size,"React, Excel, Spring Boot, Java, Docker, Tableau",HSR Layout,T3,2024,Work from Office
BLR0882,Data Analyst,0,5.6,,QuickPay AI,Early-stage,"React, PowerBI, Kubernetes",Indiranagar,Tier-2,2024,Work from Office
BLR0932,SRE,0,8.8 LPA,,FinNova,Early-stage,"Excel, Kafka, Docker, MongoDB, Tableau, Python",Whitefield,2,2024,Hybrid
BLR0561,SDE-Backend,5,₹33.4 LPA,25.1,BYJU'S,Unicorn,"Sketch, PostgreSQL, PyTorch, MongoDB, AWS",HSR Layout,Tier-2,2023,WFH
BLR0769,Frontend Developer,2,₹12.8 LPA,8.8 LPA,Freshworks,Mid-size,"NumPy, SQL, Tableau, Python, Agile, JavaScript",Whitefield,Tier-2,2024,WFH
BLR0723,Product Lead,5,34.9 LPA,26.0,MoEngage,Mid-size,"Kafka, Tableau, System Design, Excel, PostgreSQL",Koramangala,Tier-3,2020,Work from Office
BLR0376,Data Science Engineer,8,75.6,46.6 LPA,Razorpay,UNICORN,,Marathahalli,T2,2022,Remote
BLR0325,Business Systems Analyst,3,14.2 LPA,,SaasGo,Early-stage,"AWS, Node.js, Java, MongoDB",HSR Layout,Tier 2,2021,Hybrid (3 days)
BLR0360,ML Engineer,1,14.6 LPA,10.4 LPA,AgriTech Labs,Early-stage,,Jayanagar,Tier-2,2023,Work from Office
BLR0414,SDE FS,1,15.1 LPA,11.3,TCS,MNC,"Microservices, Kafka, TensorFlow, AWS",HSR Layout,Tier 3,2024,Remote
BLR0172,BE,6,33.3,21.5,Chargebee,Mid-size,"Microservices, PowerBI, NumPy, React, Pandas, Python",Sarjapur,Tier-1,2023,Work from Office
BLR0772,Infra Engineer,0,10.6 LPA,,Wipro,MNC,"Python, SQL, JIRA, GCP, Deep Learning, TensorFlow",Bellandur,2,2024,WFH
BLR0666,DA,0,12.7 LPA,,PhonePe,Unicorn,"NumPy, AWS, System Design",Whitefield,Tier-1,2024,Work from Office
BLR0644,Infra Engineer,6,27.6,,Amazon India,MNC,"JavaScript, Node.js, React",Koramangala,Tier 3,2020,Hybrid (3 days)
BLR0331,UI/UX,6,28.3,23.0,TCS,MNC,"Tableau, Azure, Pandas",Whitefield,2,2020,WFH
BLR0516,Analytics Engineer,4,20.6 LPA,17.5,Walmart Labs,MNC,"NumPy, Microservices, AWS, Redis, Excel",Marathahalli,2,2023,Remote
BLR0589,Analytics Engineer,8,₹36.8 LPA,23.4,BrowserStack,Mid-size,"Spring Boot, PostgreSQL, React, Deep Learning, AWS, Microservices",Whitefield,2,2020,Work from Office
BLR0586,Data Science Engineer,4,28.2,23.2,Infosys,MNC,"Figma, Excel, Pandas",Koramangala,T2,2022,Onsite
BLR0653,Data Analyst,2,10.6 LPA,8.0 LPA,QuickPay AI,Early-stage,"Python, Java, AWS, Redis, GCP, Pandas",HSR Layout,3,2024,Onsite
BLR0114,Business Analyst,0,11.8,,Zomato,unicorn,"System Design, JavaScript, Microservices, Redis, Node.js",HSR Layout,T3,2024,Hybrid (3 days)
BLR0568,DevOps,1,12.6 LPA,10.5,Microsoft India,mnc,"React, Agile, Spring Boot, Pandas, PostgreSQL, SQL, Redis",Outer Ring Road,2,2024,Hybrid
BLR0467,SRE,5,23.2,18.2,QuickPay AI,Early-stage,,Outer Ring Road,T3,2022,Hybrid
BLR0876,Fullstack Dev,4,24.7,19.6 LPA,EdMint,Early-stage,"Deep Learning, PostgreSQL, Tableau, Docker, Spring Boot",Outer Ring Road,T2,2023,Remote
BLR0362,UI Designer,7,38.2,32.0 LPA,TCS,MNC,"Java, Node.js, NumPy, Deep Learning, PostgreSQL, System Design, Kafka",Bellandur,Tier-2,2020,Hybrid (3 days)
BLR0296,BA,3,24.7 LPA,20.9 LPA,Cognizant,MNC,"MongoDB, SQL, Java, Kubernetes, Pandas, JavaScript, Deep Learning",Marathahalli,2,2024,Hybrid (3 days)
BLR0522,Business Analyst,0,₹7.3 LPA,,Zoho,Mid-size,"PowerBI, Kafka, Python",Whitefield,Tier-3,2024,Work from Office
BLR0300,UI Designer,0,₹8.6 LPA,,MoEngage,Mid-size,"Deep Learning, PyTorch, Kubernetes",Indiranagar,Tier 2,2024,WFH
BLR0533,SDE-Backend,7,41.5 LPA,28.4,Razorpay,Unicorn,"NumPy, Kafka, Python, Excel, PostgreSQL",Electronic City,T1,2021,WFH
BLR0805,BE,0,₹12.7 LPA,,Walmart Labs,MNC,"Java, Python, Sketch, System Design, Deep Learning",Whitefield,Tier 2,2024,WFH
BLR0891,Product Manager,2,31.3,,Meesho,Unicorn,"Python, Java, AWS",MG Road,T2,2022,Onsite
BLR0022,FullStack,3,20.5 LPA,13.1 LPA,Chargebee,Mid-size,"Pandas, System Design, Azure, GCP, PyTorch, Java, Spring Boot",Jayanagar,2,2021,WFH
BLR0250,Fullstack Dev,5,25.9 LPA,20.8,FinNova,Early-stage,"Pandas, JavaScript, ML",Outer Ring Road,3,2022,Onsite
BLR0222,Backend Engineer,4,27.1,16.9 LPA,IBM,mnc,"AWS, Figma, Kubernetes, Python",Koramangala,3,2023,Work from Office
BLR0960,Infra Engineer,12,45.5 LPA,37.3 LPA,MoEngage,Mid-size,"Azure, Microservices, Figma, JIRA",Indiranagar,2,2021,WFH
BLR0775,Business Systems Analyst,2,18.3 LPA,15.1 LPA,Wipro,MNC,"Node.js, AWS, MongoDB, Spring Boot, NumPy, Microservices",Sarjapur,Tier 2,2023,Hybrid
BLR0766,FullStack,8,45.3 LPA,28.6 LPA,Cognizant,MNC,"Azure, Tableau, Pandas, GCP, SQL, Node.js",Electronic City,Tier 1,2024,Hybrid
BLR0953,Data Scientist,5,₹33.0 LPA,25.7,TCS,MNC,"PostgreSQL, System Design, Tableau, TensorFlow, SQL, Agile",Electronic City,Tier-3,2024,Remote
BLR0679,Frontend Developer,6,30.3,18.2 LPA,Amazon India,MNC,"PowerBI, Azure, Kubernetes, Kafka, Agile, JIRA, PyTorch",Marathahalli,Tier 3,2023,Hybrid
BLR0852,Designer,7,28.0,19.6 LPA,Hasura,Mid-size,"Spring Boot, Java, Agile, Figma",Indiranagar,Tier-3,2021,Hybrid
BLR0556,Frontend Developer,4,30.2,19.7,Ola,Unicorn,"Kafka, Node.js, AWS, PostgreSQL, JavaScript, Figma, Azure",HSR Layout,2,2022,Hybrid
BLR0357,Fullstack Dev,4,25.1,16.0 LPA,Walmart Labs,MNC,"PowerBI, Sketch, Tableau, PostgreSQL, React",HSR Layout,2,2020,Onsite
BLR0835,Business Analyst,2,14.2,10.2 LPA,Hasura,Mid-size,"PostgreSQL, Java, Microservices, Python",Indiranagar,Tier 3,2022,Work from Office
BLR0029,ML Engineer,5,31.4,22.4 LPA,Microsoft India,MNC,"Tableau, Python, NumPy, Agile, AWS",MG Road,Tier-3,2022,Onsite
BLR0558,PM,10,65.6 LPA,51.5,Wipro,MNC,"Python, Kafka, Spring Boot, AWS, Microservices",Electronic City,2,2020,Remote
BLR0856,Backend Engineer,2,17.8 LPA,10.8,Chargebee,Mid-size,"ML, Java, TensorFlow",HSR Layout,Tier 2,2024,Work from Office
BLR0214,DevOps Engineer,4,40.2,,PhonePe,Unicorn,"Pandas, System Design, Docker, AWS, ML",HSR Layout,T3,2022,Hybrid
BLR0808,SDE Full-Stack,8,71.7,59.9,BYJU'S,Unicorn,"PowerBI, Tableau, Kafka, Figma, Node.js, Deep Learning, Python",Koramangala,Tier 1,2022,Remote
BLR0884,SDE Full-Stack,6,₹46.9 LPA,34.4,Swiggy,unicorn,"Redis, Java, ML, MongoDB",Outer Ring Road,Tier 2,2022,Work from Office
BLR0985,Full Stack Engineer,6,44.4 LPA,36.4,Zomato,Unicorn,"MongoDB, Redis, Microservices, JIRA, System Design",Indiranagar,3,2024,Hybrid
BLR0895,Backend Developer,5,23.2 LPA,17.2 LPA,EdMint,Early-stage,"PyTorch, GCP, System Design",Jayanagar,Tier-3,2024,Work from Office
BLR0582,PM,1,29.7 LPA,22.5,BYJU'S,unicorn,"Redis, Python, MongoDB, PyTorch, GCP, ML",Jayanagar,T2,2024,Hybrid (3 days)
BLR0783,Business Systems Analyst,3,22.6,19.2,Microsoft India,MNC,"Docker, Java, AWS",MG Road,T1,2021,WFH
BLR0145,Frontend Engineer,2,"2,310,000",16.5,Flipkart,unicorn,"MongoDB, TensorFlow, Node.js, JIRA, Pandas, Deep Learning",Koramangala,Tier-2,2024,Onsite
BLR0347,DA,0,8.3,,FinNova,Early-stage,"Kafka, Microservices, Deep Learning, ML, System Design",Outer Ring Road,3,2024,Hybrid
BLR0047,BI Analyst,1,₹15.8 LPA,12.8,Flipkart,Unicorn,"JavaScript, Agile, Azure, Tableau, React, Deep Learning",Koramangala,Tier-2,2023,Hybrid
BLR0174,DS,1,16.6,13.9,BrowserStack,Mid-size,"Spring Boot, System Design, Agile, Node.js",HSR Layout,2,2023,Remote
BLR0819,Backend Dev,0,9.2 LPA,,QuickPay AI,Early-stage,"Pandas, System Design, Spring Boot",Jayanagar,Tier 1,2024,WFH
BLR0081,Product Lead,5,42.5,26.0 LPA,Microsoft India,MNC,"React, JavaScript, Deep Learning",Jayanagar,3,2022,WFH
BLR0959,Data Scientist,4,"2,590,000",17.0 LPA,EdMint,EARLY-STAGE,"Figma, Docker, NumPy, Java, Azure, Python, Redis",HSR Layout,Tier-1,2022,WFH
BLR0448,PM,6,"5,690,000",43.1 LPA,Postman,Mid-size,"MongoDB, Node.js, Deep Learning, Kubernetes, NumPy, JIRA",Koramangala,T1,2020,Hybrid
BLR0820,Frontend Dev,12,₹84.4 LPA,70.5,BYJU'S,Unicorn,"Microservices, Deep Learning, SQL, Agile, Spring Boot, Node.js",Sarjapur,1,2024,Hybrid
BLR0366,Designer,6,25.2 LPA,19.5 LPA,Capgemini,MNC,"Azure, NumPy, PowerBI, Redis, Tableau, PostgreSQL",Whitefield,3,2021,Onsite
BLR0903,SRE,4,25.5 LPA,20.6,Zoho,Mid-size,"Tableau, Azure, Kubernetes, Python",,T1,2024,Hybrid
BLR0447,Analytics Engineer,6,"2,610,000",16.8,MoEngage,Mid-size,"Sketch, JIRA, TensorFlow",HSR Layout,1,2021,Hybrid
BLR0449,SDE Frontend,0,11.7 LPA,,Unacademy,Unicorn,"Spring Boot, Tableau, Java, PowerBI, Deep Learning, Python, MongoDB",MG Road,3,2024,Hybrid (3 days)
BLR0831,BA,5,33.2,27.5 LPA,PhonePe,Unicorn,"PostgreSQL, Kubernetes, JIRA",Electronic City,T2,2023,Onsite
BLR0322,Product Lead,2,20.6 LPA,14.7 LPA,BrowserStack,Mid-size,"Pandas, Redis, TensorFlow, MongoDB, JIRA",HSR Layout,T2,2023,Remote
BLR0143,DevOps Engineer,10,46.3 LPA,35.7 LPA,MoEngage,Mid-size,"System Design, Kubernetes, Node.js, Spring Boot, Tableau, Figma",Bellandur,2,2024,WFH
BLR0815,UI Designer,5,24.5 LPA,20.6,Zoho,Mid-size,"Redis, System Design, React, PowerBI",Outer Ring Road,T2,2021,Work from Office
BLR0693,Site Reliability Engineer,2,24.3,17.2 LPA,IBM,MNC,"Figma, System Design, React, AWS",Jayanagar,T1,2024,Onsite
BLR0912,UI/UX,6,35.5,29.3 LPA,Swiggy,unicorn,"PyTorch, MongoDB, Tableau, Excel, Microservices, Kafka, System Design",Jayanagar,3,2022,Onsite
BLR0664,BA,5,₹24.5 LPA,17.1,Walmart Labs,MNC,"Figma, PowerBI, Redis, PostgreSQL, MongoDB, React",Marathahalli,T2,2022,Hybrid
BLR0521,Site Reliability Engineer,1,₹12.8 LPA,9.3 LPA,Postman,Mid-size,"JIRA, MongoDB, Python, AWS",Electronic City,Tier 2,2023,Hybrid (3 days)
